Title	RBID	Issue Date	Remaining Circs
DEADPOOL CLASSIC VOL. 5 - Special	RBC0424498	12/31/1969	25
DEADPOOL KILLS DEADPOOL - Special	RBC0424499	12/31/1969	25
DEADPOOL KILLS THE MARVEL UNIVERSE - Special	RBC0424500	12/31/1969	25
DEADPOOL V GAMBIT: THE “V” IS FOR “VS.” - Special	RBC0424501	12/31/1969	25
DEADPOOL VOL. 1: DEAD PRESIDENTS - Special	RBC0424502	12/31/1969	25
DEADPOOL VOL. 2: SOUL HUNTER - Special	RBC0424503	12/31/1969	25
DEADPOOL VOL. 3: THE GOOD, THE BAD AND THE UGLY - Special	RBC0424504	12/31/1969	25
DEADPOOL VOL. 4: DEADPOOL VS S.H.I.E.L.D. - Special	RBC0424505	12/31/1969	25
DEADPOOL VOL. 5: WEDDING OF DEADPOOL - Special	RBC0424506	12/31/1969	25
DEADPOOL VS. THANOS - Special	RBC0424507	12/31/1969	25
DEADPOOL VS. THE MARVEL UNIVERSE - Special	RBC0424508	12/31/1969	25
DEADPOOL VS. THE PUNISHER - Special	RBC0424509	12/31/1969	25
DEADPOOL: WORLDS GREATEST VOL. 4 - TEMPORARY INSANITATION - Special	RBC0424513	12/31/1969	25
DEADPOOL: WORLDS GREATEST VOL. 5 - CIVIL WAR II - Special	RBC0424514	12/31/1969	25
DEADPOOL: WORLDS GREATEST VOL. 6 - PATIENCE: ZERO - Special	RBC0424515	12/31/1969	25
DEADPOOL: WORLDS GREATEST VOL. 7 - DEADPOOL DOES SHAKESPEARE - Special	RBC0424516	12/31/1969	25
DEADPOOL: WORLDS GREATEST VOL. 8 - TIL DEATH DO US... - Special	RBC0424517	12/31/1969	25
DEADPOOL: WORLD’S GREATEST VOL. 1 - MILLIONAIRE WITH A MOUTH - Special	RBC0424510	12/31/1969	25
DEADPOOL: WORLD’S GREATEST VOL. 2: END OF ERROR - Special	RBC0424511	12/31/1969	25
DEADPOOL: WORLD’S GREATEST VOL. 3 - DEADPOOL VS. SABRETOOTH - Special	RBC0424512	12/31/1969	25
Death By Chocolate: Redux	RBC0387471	05/27/2017	25
DEATH OF WOLVERINE - Special	RBC0424518	12/31/1969	25
DEATH OF X - Special	RBC0424519	12/31/1969	25
The Devil's Concubine	RBC0387547	05/29/2017	25
Dinosaurs Attack!	RBC0406799	11/24/2017	25
DOCTOR STRANGE VOL. 1: THE WAY OF THE WEIRD - Special	RBC0424520	12/31/1969	25
DOCTOR STRANGE VOL. 2: THE LAST DAYS OF MAGIC - Special	RBC0424521	12/31/1969	25
DOCTOR STRANGE VOL. 3: BLOOD IN THE AETHER - Special	RBC0424522	12/31/1969	25
DOCTOR STRANGE VOL. 4: MR. MISERY - Special	RBC0424523	12/31/1969	25
DOCTOR STRANGE/PUNISHER: MAGIC BULLETS - Special	RBC0424524	12/31/1969	25
DOCTOR STRANGE: THE OATH - Special	RBC0424525	12/31/1969	25
Doomsday.1	RBC0406800	11/24/2017	25
DRAX VOL. 1: THE GALAXYS BEST DETECTIVE - Special	RBC0424526	12/31/1969	25
Drive	RBC0387472	05/27/2017	25
Dungeons & Dragons Forgotten Realms Classics Vol. 1	RBC0387473	05/27/2017	25
Dungeons & Dragons Forgotten Realms Classics Vol. 2	RBC0387474	05/27/2017	25
Dungeons & Dragons Forgotten Realms Classics Vol. 3	RBC0387475	05/27/2017	25
Dungeons & Dragons Forgotten Realms Classics Vol. 4	RBC0387476	05/27/2017	25
Dungeons & Dragons: Cutter	RBC0387477	05/27/2017	25
Dungeons & Dragons: Drizzt - Neverwinter Tales	RBC0387478	05/27/2017	25
EARTH X - Special	RBC0424527	12/31/1969	25
EDGE OF VENOMVERSE - Special	RBC0424528	12/31/1969	25
Edward Scissorhands Vol. 1: Parts Unknown	RBC0424274	06/01/2018	25
ELEKTRA VOL. 1: BLOODLINES - Special	RBC0424529	12/31/1969	25
FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 1 - Special	RBC0424530	12/31/1969	25
FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 2 - Special	RBC0424531	12/31/1969	25
FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 3 - Special	RBC0424532	12/31/1969	25
FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 4 - Special	RBC0424533	12/31/1969	25
FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 5 - Special	RBC0424534	12/31/1969	25
FANTASTIC FOUR BY JONATHAN HICKMAN VOL.6 - Special	RBC0424535	12/31/1969	25
FANTASTIC FOUR MASTERWORKS VOL. 1 - Special	RBC0424536	12/31/1969	25
FANTASTIC FOUR MASTERWORKS VOL. 2 - Special	RBC0424537	12/31/1969	25
FANTASTIC FOUR MASTERWORKS VOL. 3 - Special	RBC0424538	12/31/1969	25
Fox Bunny Funny	RBC0387479	05/27/2017	25
G.I Joe: Cobra Civil War Vol. 1	RBC0424290	06/01/2018	25
G.I. Joe, Vol. 1: The Fall of G.I. Joe	RBC0387480	05/27/2017	25
G.I. Joe, Vol. 2: The Fall of G.I. Joe	RBC0387481	05/27/2017	25
G.I. Joe: A Real American Hero Vol. 3	RBC0387484	05/27/2017	25
G.I. Joe: A Real American Hero, Vol. 1	RBC0387482	05/27/2017	25
G.I. Joe: A Real American Hero, Vol. 2	RBC0387483	05/27/2017	25
G.I. Joe: Classics Vol. 1	RBC0424286	06/01/2018	25
G.I. Joe: Classics Vol. 2	RBC0424287	05/31/2018	25
G.I. Joe: Classics Vol. 3	RBC0424288	05/31/2018	25
G.I. Joe: Classics Yearbook	RBC0387898	05/27/2017	25
G.I. Joe: Deep Terror	RBC0387485	05/27/2017	25
G.I. Joe: Retaliation Movie Prequel	RBC0387486	05/27/2017	25
G.I. Joe: Snake Eyes: Agent of Cobra	RBC0387487	05/27/2017	25
G.I. Joe: Special Missions, Vol. 1	RBC0387488	05/27/2017	25
G.I. Joe: The Cobra Files, Vol. 1	RBC0387489	05/27/2017	25
G.I. Joe: The Cobra Files, Vol. 2	RBC0387490	05/27/2017	25
Galaxy Quest: The Journey Continues	RBC0406801	11/24/2017	25
Gate-way, Vol. 1: A New World	RBC0389801	08/08/2017	25
George R.R. Martin's Doorways	RBC0387491	05/31/2017	25
GHOST RIDER VOL. 1: HELL BENT AND HEAVEN BOUND - Special	RBC0424539	12/31/1969	25
Ghostbusters, Vol. 5: The New Ghostbusters	RBC0387492	05/31/2017	25
Ghostbusters, Vol. 6: Trains Brains Remains	RBC0387493	05/31/2017	25
Ghostbusters, Vol. 7: Happy Horror Days	RBC0387494	05/31/2017	25
Ghostbusters, Vol. 8: Mass Hysteria, Pt. 1	RBC0387495	05/31/2017	25
Ghostbusters, Vol. 9: Mass Hysteria, Pt. 2	RBC0387496	05/31/2017	25
Godzilla In Hell	RBC0424275	06/01/2018	25
Godzilla, Vol. 1	RBC0387497	05/31/2017	25
Godzilla: Kingdom of Monsters, Volume 1	RBC0387498	05/31/2017	25
Godzilla: Rulers of Earth Vol. 1	RBC0424276	06/01/2018	25
Graveslinger	RBC0387499	06/04/2017	25
