Library Name	Title	RBID	Issue Date	Remaining Circs
8080 Test Library	G.I. Joe, Vol. 1: The Fall of G.I. Joe	RBC0387480		
8080 Test Library	G.I. Joe, Vol. 2: The Fall of G.I. Joe	RBC0387481		
8080 Test Library	G.I. Joe: A Real American Hero Vol. 3	RBC0387484		
8080 Test Library	G.I. Joe: A Real American Hero, Vol. 1	RBC0387482		
8080 Test Library	G.I. Joe: A Real American Hero, Vol. 2	RBC0387483		
8080 Test Library	G.I. Joe: Classics Vol. 1	RBC0424286		
8080 Test Library	G.I. Joe: Classics Vol. 2	RBC0424287		
8080 Test Library	G.I. Joe: Classics Vol. 3	RBC0424288		
8080 Test Library	G.I. Joe: Classics Yearbook	RBC0387898		
8080 Test Library	G.I. Joe: Deep Terror	RBC0387485		
8080 Test Library	G.I. Joe: Retaliation Movie Prequel	RBC0387486		
8080 Test Library	G.I. Joe: Snake Eyes: Agent of Cobra	RBC0387487		
8080 Test Library	G.I. Joe: Special Missions, Vol. 1	RBC0387488		
8080 Test Library	G.I. Joe: The Cobra Files, Vol. 1	RBC0387489		
8080 Test Library	G.I. Joe: The Cobra Files, Vol. 2	RBC0387490		
8080 Test Library	Galaxy Quest: The Journey Continues	RBC0406801		
8080 Test Library	Gate-way, Vol. 1: A New World	RBC0389801		
8080 Test Library	George R.R. Martin's Doorways	RBC0387491		
8080 Test Library	GHOST RIDER VOL. 1: HELL BENT AND HEAVEN BOUND - Special	RBC0424539		
8080 Test Library	Ghostbusters, Vol. 5: The New Ghostbusters	RBC0387492		
8080 Test Library	Ghostbusters, Vol. 6: Trains Brains Remains	RBC0387493		
8080 Test Library	Ghostbusters, Vol. 7: Happy Horror Days	RBC0387494		
8080 Test Library	Ghostbusters, Vol. 8: Mass Hysteria, Pt. 1	RBC0387495		
8080 Test Library	Ghostbusters, Vol. 9: Mass Hysteria, Pt. 2	RBC0387496		
8080 Test Library	Godzilla In Hell	RBC0424275		
8080 Test Library	Godzilla, Vol. 1	RBC0387497		
8080 Test Library	Godzilla: Kingdom of Monsters, Volume 1	RBC0387498		
